"filename", "language", "JavaScript", "JSON", "Properties", "JavaScript JSX", "PostCSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\lib\api.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\lib\firebase.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-Frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\firebaseadmin.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\package-lock.json", "JSON", 0, 2913, 0, 0, 0, 0, 0, 0, 0, 1, 2914
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\routes\autocomplete.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\Luker\OneDrive\Desktop\Planit\Planit-backend\server.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 2, 18, 75
"Total", "-", 167, 6830, 1, 1764, 2195, 123, 7, 17, 119, 779, 12002
